experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_1b210983,2026-08-21T11:46:09.574637+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.011209,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_ddaedb0c,2026-08-21T11:46:09.575900+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.019226,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_5c9f1949,2026-08-21T11:46:09.578155+00:00,NOT_A_GIT_REPOSITORY,8080.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.018694,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_eb043fa1,2026-08-21T11:46:09.580484+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.02458,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_aee2eda7,2026-08-21T11:46:09.582789+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.02321,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_07202fd7,2026-08-21T11:46:09.585114+00:00,NOT_A_GIT_REPOSITORY,271828.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.018704,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_3c168773,2026-08-21T11:46:09.587406+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.017048,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_d2eb9029,2026-08-21T11:46:09.589677+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.019594,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_37adb769,2026-08-21T11:46:09.592052+00:00,NOT_A_GIT_REPOSITORY,16180.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.017244,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_78dd4382,2026-08-21T11:46:09.596078+00:00,NOT_A_GIT_REPOSITORY,,,v3-causal,,DualHead,DualHead,,full (WDM+T1+T2+depol),ReferenceEngine (Aer),L1-stochastic,0.01658,0.03478,0.203,,,,,,,,,,,,domain_shift,Domain shift regime: ID (held-out)
